SID,entry,evaluation,replacement
547183,in the,EXCLUDE,EXCLUDE
547183,transport,EXCLUDE,EXCLUDE
547183,feel like,EXCLUDE,EXCLUDE
547183,there's,EXCLUDE,EXCLUDE
547183,not enough,EXCLUDE,EXCLUDE
547183,of these,EXCLUDE,EXCLUDE
547183,Fortuna,EXCLUDE,EXCLUDE
547183,airplane,FOUND,airplane
547183,car,FOUND,car
547183,bike,EXCLUDE,EXCLUDE
547183,skateboard,FOUND,skateboard
547183,scooter,FOUND,scooter
547183,that one,EXCLUDE,EXCLUDE
547183,wheel,EXCLUDE,EXCLUDE
547183,thing,REPLACE,tubing
547183,hoverboard,EXCLUDE,EXCLUDE
547183,train,FOUND,train
547183,boat,REPLACE,rowboat
547183,walking,EXCLUDE,EXCLUDE
547183,running,FOUND,running
547183,jumping,REPLACE,ski jumping
547183,sprinting,FOUND,sprinting
547183,Sonic,EXCLUDE,EXCLUDE
547183,go,EXCLUDE,EXCLUDE
547183,kart,EXCLUDE,EXCLUDE
547183,a,EXCLUDE,EXCLUDE
547183,motorbike,EXCLUDE,EXCLUDE
547183,bicycle,FOUND,bicycle
547183,a,EXCLUDE,EXCLUDE
547183,dune,REPLACE,donkey
547183,buggy,EXCLUDE,EXCLUDE
547183,unicycle,REPLACE,bicycle
547183,paragliding,REPLACE,paraglider
547183,hot,EXCLUDE,EXCLUDE
547183,air,REPLACE,car
547183,balloon,EXCLUDE,EXCLUDE
547183,bungee,EXCLUDE,EXCLUDE
547183,jumping,REPLACE,ski jumping
787646,walking,EXCLUDE,EXCLUDE
787646,bikes,EXCLUDE,EXCLUDE
787646,skateboard,FOUND,skateboard
787646,rollerblading,REPLACE,rollerblades
787646,car,FOUND,car
787646,tram,FOUND,tram
787646,airplane,FOUND,airplane
787646,hot,EXCLUDE,EXCLUDE
787646,air,REPLACE,car
787646,balloon,EXCLUDE,EXCLUDE
787646,helicopter,FOUND,helicopter
787646,boss,EXCLUDE,EXCLUDE
787646,train,FOUND,train
787646,subway,FOUND,subway
787646,skipping,REPLACE,skiing
787646,running,FOUND,running
787646,scooter,FOUND,scooter
920371,R train,REPLACE,train
920371,trolleybus,EXCLUDE,EXCLUDE
920371,taxi,FOUND,taxi
920371,Uber,EXCLUDE,EXCLUDE
920371,best,EXCLUDE,EXCLUDE
920371,airplane,FOUND,airplane
920371,helicopter,FOUND,helicopter
920371,walking,EXCLUDE,EXCLUDE
920371,taxi,FOUND,taxi
920371,limo,EXCLUDE,EXCLUDE
920371,bike,EXCLUDE,EXCLUDE
920371,skateboard,FOUND,skateboard
920371,scooter,FOUND,scooter
920371,Segway,REPLACE,segway
920371,unicycle,REPLACE,bicycle
610108,car,FOUND,car
610108,bike,EXCLUDE,EXCLUDE
610108,scooter,FOUND,scooter
610108,skateboard,FOUND,skateboard
610108,plane,REPLACE,airplane
610108,boat,REPLACE,rowboat
610108,taxi,FOUND,taxi
610108,trolley,EXCLUDE,EXCLUDE
610108,Metro,EXCLUDE,EXCLUDE
610108,Bart,EXCLUDE,EXCLUDE
610108,Subway,REPLACE,subway
610108,wagon,EXCLUDE,EXCLUDE
610108,roller,EXCLUDE,EXCLUDE
610108,skates,REPLACE,ice skates
610108,rollerblades,FOUND,rollerblades
610108,walking,EXCLUDE,EXCLUDE
610108,running,FOUND,running
610108,swimming,REPLACE,skiing
610108,lying,REPLACE,sailing
610108,public,EXCLUDE,EXCLUDE
610108,transportation,EXCLUDE,EXCLUDE
610108,Uber,EXCLUDE,EXCLUDE
610108,left,EXCLUDE,EXCLUDE
610108,carpooling,REPLACE,canoeing
898793,okay,REPLACE,kayak
898793,well,EXCLUDE,EXCLUDE
898793,walking,EXCLUDE,EXCLUDE
898793,is,EXCLUDE,EXCLUDE
898793,wine,REPLACE,rowing
898793,a car,REPLACE,car
898793,and then,EXCLUDE,EXCLUDE
898793,like a,EXCLUDE,EXCLUDE
898793,bike,EXCLUDE,EXCLUDE
898793,and a,EXCLUDE,EXCLUDE
898793,scooter,FOUND,scooter
898793,but like,EXCLUDE,EXCLUDE
898793,a,EXCLUDE,EXCLUDE
898793,manual,REPLACE,mule
898793,version of,EXCLUDE,EXCLUDE
898793,those,REPLACE,horse
898793,and then,EXCLUDE,EXCLUDE
898793,there's,EXCLUDE,EXCLUDE
898793,like an,EXCLUDE,EXCLUDE
898793,electric,EXCLUDE,EXCLUDE
898793,scooter,FOUND,scooter
898793,I think there,EXCLUDE,EXCLUDE
898793,is,EXCLUDE,EXCLUDE
898793,technically,EXCLUDE,EXCLUDE
898793,an,EXCLUDE,EXCLUDE
898793,electric,EXCLUDE,EXCLUDE
898793,bike,EXCLUDE,EXCLUDE
898793,there's,EXCLUDE,EXCLUDE
898793,a,EXCLUDE,EXCLUDE
898793,Segway,REPLACE,segway
898793,I guess you could,EXCLUDE,EXCLUDE
898793,take you,EXCLUDE,EXCLUDE
898793,could go in,EXCLUDE,EXCLUDE
898793,one of those,EXCLUDE,EXCLUDE
898793,rides,REPLACE,hurdles
898793,where they,EXCLUDE,EXCLUDE
898793,kind of like,EXCLUDE,EXCLUDE
898793,a,EXCLUDE,EXCLUDE
898793,horse-drawn,EXCLUDE,EXCLUDE
898793,carriage,EXCLUDE,EXCLUDE
898793,or other,REPLACE,scooter
898793,types of,EXCLUDE,EXCLUDE
898793,carriage,EXCLUDE,EXCLUDE
898793,things,REPLACE,tubing
898793,were like,EXCLUDE,EXCLUDE
898793,there's,EXCLUDE,EXCLUDE
898793,a person,EXCLUDE,EXCLUDE
898793,who's,REPLACE,horse
898793,kind of,EXCLUDE,EXCLUDE
898793,driving in the,EXCLUDE,EXCLUDE
898793,front and,EXCLUDE,EXCLUDE
898793,you're,EXCLUDE,EXCLUDE
898793,sitting in the,EXCLUDE,EXCLUDE
898793,back,EXCLUDE,EXCLUDE
898793,skateboard,FOUND,skateboard
898793,electric,EXCLUDE,EXCLUDE
898793,skateboard,FOUND,skateboard
898793,and you can,EXCLUDE,EXCLUDE
898793,take a,EXCLUDE,EXCLUDE
898793,bus,FOUND,bus
898793,or you,EXCLUDE,EXCLUDE
898793,can take the,EXCLUDE,EXCLUDE
898793,BART,EXCLUDE,EXCLUDE
898793,or some,REPLACE,horse
898793,type of,EXCLUDE,EXCLUDE
898793,like,REPLACE,glider
898793,underground,EXCLUDE,EXCLUDE
898793,Subway,REPLACE,subway
898793,in general,EXCLUDE,EXCLUDE
898793,could also,EXCLUDE,EXCLUDE
898793,take a,EXCLUDE,EXCLUDE
898793,train or,REPLACE,train
898793,you could take,EXCLUDE,EXCLUDE
898793,some,EXCLUDE,EXCLUDE
898793,type of,EXCLUDE,EXCLUDE
898793,above ground,EXCLUDE,EXCLUDE
898793,public,EXCLUDE,EXCLUDE
898793,transportation,EXCLUDE,EXCLUDE
898793,like the,EXCLUDE,EXCLUDE
898793,cable,REPLACE,cable car
898793,cars,REPLACE,car
898793,or something and,EXCLUDE,EXCLUDE
898793,you could fly,EXCLUDE,EXCLUDE
898793,you could fly,EXCLUDE,EXCLUDE
898793,in a,EXCLUDE,EXCLUDE
898793,helicopter,FOUND,helicopter
898793,or a,EXCLUDE,EXCLUDE
898793,plane,REPLACE,airplane
898793,or a,EXCLUDE,EXCLUDE
898793,jet,REPLACE,jet ski
898793,or in,REPLACE,train
898793,a,EXCLUDE,EXCLUDE
898793,rocket,FOUND,rocket
898793,ship to,EXCLUDE,EXCLUDE
898793,space,EXCLUDE,EXCLUDE
898793,you could take,EXCLUDE,EXCLUDE
898793,a,EXCLUDE,EXCLUDE
898793,boat,REPLACE,rowboat
898793,or you,EXCLUDE,EXCLUDE
898793,could,EXCLUDE,EXCLUDE
898793,kayak,FOUND,kayak
898793,or go,EXCLUDE,EXCLUDE
898793,surfing,FOUND,surfing
898793,I guess,EXCLUDE,EXCLUDE
898793,depending on,EXCLUDE,EXCLUDE
898793,where,REPLACE,horse
898793,you're,EXCLUDE,EXCLUDE
898793,going,REPLACE,rowing
898793,you could,EXCLUDE,EXCLUDE
898793,run,REPLACE,running
898793,instead of,EXCLUDE,EXCLUDE
898793,walk,EXCLUDE,EXCLUDE
898793,for,EXCLUDE,EXCLUDE
898793,you could,EXCLUDE,EXCLUDE
898793,I guess,EXCLUDE,EXCLUDE
898793,swim,EXCLUDE,EXCLUDE
898793,if,EXCLUDE,EXCLUDE
898793,you're,EXCLUDE,EXCLUDE
898793,really,EXCLUDE,EXCLUDE
898793,committed,EXCLUDE,EXCLUDE
898793,to the,EXCLUDE,EXCLUDE
898793,cause you could,EXCLUDE,EXCLUDE
898793,using,REPLACE,cruising
898793,one of those,EXCLUDE,EXCLUDE
898793,like,REPLACE,glider
898793,pogo stick,EXCLUDE,EXCLUDE
898793,things I,EXCLUDE,EXCLUDE
898793,guess,EXCLUDE,EXCLUDE
898793,if you,EXCLUDE,EXCLUDE
898793,didn't,EXCLUDE,EXCLUDE
898793,have anything else,EXCLUDE,EXCLUDE
