SID,entry,evaluation,replacement
787646,scissors,EXCLUDE,EXCLUDE
787646,dishwasher,FOUND,dishwasher
787646,fridge,EXCLUDE,EXCLUDE
787646,garbage,REPLACE,range
787646,disposal,EXCLUDE,EXCLUDE
787646,sink,EXCLUDE,EXCLUDE
787646,Hammer,EXCLUDE,EXCLUDE
787646,toaster,FOUND,toaster
787646,stove,FOUND,stove
787646,freezer,FOUND,freezer
787646,ice,REPLACE,juicer
787646,machine,EXCLUDE,EXCLUDE
787646,microwave,FOUND,microwave
787646,spatula,EXCLUDE,EXCLUDE
787646,washing,EXCLUDE,EXCLUDE
787646,machine,EXCLUDE,EXCLUDE
787646,dryer,EXCLUDE,EXCLUDE
787646,pots,EXCLUDE,EXCLUDE
787646,pans,EXCLUDE,EXCLUDE
787646,faucet,EXCLUDE,EXCLUDE
787646,toilet,EXCLUDE,EXCLUDE
787646,fan,EXCLUDE,EXCLUDE
898793,there is a,EXCLUDE,EXCLUDE
898793,stove,FOUND,stove
898793,microwave,FOUND,microwave
898793,I'm,EXCLUDE,EXCLUDE
898793,going to,EXCLUDE,EXCLUDE
898793,separate,EXCLUDE,EXCLUDE
898793,stove,FOUND,stove
898793,top,REPLACE,cooktop
898793,from,EXCLUDE,EXCLUDE
898793,oven,FOUND,oven
898793,because I,EXCLUDE,EXCLUDE
898793,only have a,EXCLUDE,EXCLUDE
898793,stove,FOUND,stove
898793,top and,EXCLUDE,EXCLUDE
898793,not an,EXCLUDE,EXCLUDE
898793,oven,FOUND,oven
898793,I would,EXCLUDE,EXCLUDE
898793,say like,EXCLUDE,EXCLUDE
898793,the,EXCLUDE,EXCLUDE
898793,fan,EXCLUDE,EXCLUDE
898793,that,REPLACE,heater
898793,catches,EXCLUDE,EXCLUDE
898793,the,EXCLUDE,EXCLUDE
898793,smoke,REPLACE,stove
898793,from when,EXCLUDE,EXCLUDE
898793,you,EXCLUDE,EXCLUDE
898793,cook,REPLACE,cooktop
898793,I guess,EXCLUDE,EXCLUDE
898793,like a,EXCLUDE,EXCLUDE
898793,convection,EXCLUDE,EXCLUDE
898793,actually,EXCLUDE,EXCLUDE
898793,I'm,EXCLUDE,EXCLUDE
898793,going to send,EXCLUDE,EXCLUDE
898793,air,EXCLUDE,EXCLUDE
898793,fryer,REPLACE,freezer
898793,you could get,EXCLUDE,EXCLUDE
898793,one of those,EXCLUDE,EXCLUDE
898793,like,EXCLUDE,EXCLUDE
898793,waffle,EXCLUDE,EXCLUDE
898793,makers,EXCLUDE,EXCLUDE
898793,or the,EXCLUDE,EXCLUDE
898793,pancake,EXCLUDE,EXCLUDE
898793,makers,EXCLUDE,EXCLUDE
898793,a,EXCLUDE,EXCLUDE
898793,blender,FOUND,blender
898793,and,EXCLUDE,EXCLUDE
898793,things,EXCLUDE,EXCLUDE
898793,people,EXCLUDE,EXCLUDE
898793,cook,REPLACE,cooktop
898793,with,EXCLUDE,EXCLUDE
898793,I guess it,EXCLUDE,EXCLUDE
898793,coffee,EXCLUDE,EXCLUDE
898793,like a,EXCLUDE,EXCLUDE
898793,Keurig,EXCLUDE,EXCLUDE
898793,machine,EXCLUDE,EXCLUDE
898793,kind of thing,EXCLUDE,EXCLUDE
898793,actually I,EXCLUDE,EXCLUDE
898793,don't,EXCLUDE,EXCLUDE
898793,know if,EXCLUDE,EXCLUDE
898793,it's,EXCLUDE,EXCLUDE
898793,hip hop,EXCLUDE,EXCLUDE
898793,workout,EXCLUDE,EXCLUDE
898793,like an,EXCLUDE,EXCLUDE
898793,electric,EXCLUDE,EXCLUDE
898793,teapot,EXCLUDE,EXCLUDE
898793,maybe you,EXCLUDE,EXCLUDE
898793,almost,EXCLUDE,EXCLUDE
898793,Lance's,EXCLUDE,EXCLUDE
898793,think,EXCLUDE,EXCLUDE
898793,like a,EXCLUDE,EXCLUDE
898793,freezer,FOUND,freezer
898793,is this like,EXCLUDE,EXCLUDE
898793,limited to,EXCLUDE,EXCLUDE
898793,like,EXCLUDE,EXCLUDE
898793,kitchen,EXCLUDE,EXCLUDE
898793,kind of,EXCLUDE,EXCLUDE
898793,appliances,EXCLUDE,EXCLUDE
898793,there could,EXCLUDE,EXCLUDE
898793,be,EXCLUDE,EXCLUDE
898793,things like,EXCLUDE,EXCLUDE
898793,TV's,EXCLUDE,EXCLUDE
898793,not that,EXCLUDE,EXCLUDE
898793,like anything,EXCLUDE,EXCLUDE
898793,I can,EXCLUDE,EXCLUDE
898793,plug in,EXCLUDE,EXCLUDE
898793,kind of,EXCLUDE,EXCLUDE
898793,okay then,EXCLUDE,EXCLUDE
