SID,entry,evaluation,replacement
65778c02cde55736bb830eca,Sushi,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,pizza,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,apples,REPLACE,apple
65778c02cde55736bb830eca,bananas,REPLACE,banana
65778c02cde55736bb830eca,hot,REPLACE,shallot
65778c02cde55736bb830eca,wings,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,chicken,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,burrito,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,tacos,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,enchiladas,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,popcorn,REPLACE,corn
65778c02cde55736bb830eca,sausage,REPLACE,sage
65778c02cde55736bb830eca,pancakes,REPLACE,pancake
65778c02cde55736bb830eca,eggs,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,tomatoes,REPLACE,tomato
65778c02cde55736bb830eca,bread,FOUND,bread
65778c02cde55736bb830eca,butter,FOUND,butter
65778c02cde55736bb830eca,soup,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,rice,REPLACE,brioche
65778c02cde55736bb830eca,cereal,REPLACE,cream
65778c02cde55736bb830eca,putting,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,oatmeal,REPLACE,oat milk
65778c02cde55736bb830eca,history,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,waffles,REPLACE,waffle
65778c02cde55736bb830eca,pasta,REPLACE,peas
65778c02cde55736bb830eca,and,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,meatballs,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,grapes,FOUND,grapes
65778c02cde55736bb830eca,pie,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,cake,REPLACE,pancake
65778c02cde55736bb830eca,Ramen,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,pork,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,ribs,REPLACE,radish
65778c02cde55736bb830eca,french,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,fries,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,baked,REPLACE,bread
65778c02cde55736bb830eca,potato,FOUND,potato
65778c02cde55736bb830eca,mushrooms,REPLACE,mushroom
65778c02cde55736bb830eca,onions,REPLACE,onion
65778c02cde55736bb830eca,sandwich,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,falafel,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,gyro,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,salad,REPLACE,ham salad
65cb586172a8853f26cc8eec,bread,FOUND,bread
65cb586172a8853f26cc8eec,cheese,FOUND,cheese
65cb586172a8853f26cc8eec,eggs,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,Pizza,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,Pasta,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,Sushi,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,fish,REPLACE,radish
65cb586172a8853f26cc8eec,fruits,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,oranges,REPLACE,orange
65cb586172a8853f26cc8eec,apples,REPLACE,apple
65cb586172a8853f26cc8eec,bananas,REPLACE,banana
65cb586172a8853f26cc8eec,avocados,REPLACE,avocado
65cb586172a8853f26cc8eec,blueberries,REPLACE,blueberry
65cb586172a8853f26cc8eec,raspberries,REPLACE,raspberry
65cb586172a8853f26cc8eec,blackberries,REPLACE,blackberry
65cb586172a8853f26cc8eec,strawberries,REPLACE,strawberry
65cb586172a8853f26cc8eec,melon,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,honeydew,FOUND,honeydew
65cb586172a8853f26cc8eec,cantaloupe,FOUND,cantaloupe
65cb586172a8853f26cc8eec,dragon,REPLACE,tarragon
65cb586172a8853f26cc8eec,fruit,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,watermelon,FOUND,watermelon
65cb586172a8853f26cc8eec,vegetables,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,Peppers,EXCLUDE,EXCLUDE
65cb586172a8853f26cc8eec,broccoli,FOUND,broccoli
65cb586172a8853f26cc8eec,mushrooms,REPLACE,mushroom
65cb586172a8853f26cc8eec,eggplant,FOUND,eggplant
65cb586172a8853f26cc8eec,asparagus,FOUND,asparagus
