SID,entry,evaluation,replacement
547183,vegetables,EXCLUDE,EXCLUDE
547183,I guess,EXCLUDE,EXCLUDE
547183,avocado,FOUND,avocado
547183,asparagus,FOUND,asparagus
547183,broccoli,FOUND,broccoli
547183,artichoke,FOUND,artichoke
547183,green,EXCLUDE,EXCLUDE
547183,beans,REPLACE,soybean
547183,jalapeno,EXCLUDE,EXCLUDE
547183,is a,EXCLUDE,EXCLUDE
547183,vegetable,EXCLUDE,EXCLUDE
547183,but I guess,EXCLUDE,EXCLUDE
547183,I'll,EXCLUDE,EXCLUDE
547183,say it,EXCLUDE,EXCLUDE
547183,Lettuce,REPLACE,lettuce
547183,kale,FOUND,kale
547183,spinach,FOUND,spinach
547183,carrots,REPLACE,carrot
547183,corn,FOUND,corn
547183,don't,EXCLUDE,EXCLUDE
547183,think,EXCLUDE,EXCLUDE
547183,Tomatoes,REPLACE,tomato
547183,a vegetable,EXCLUDE,EXCLUDE
547183,but I think,EXCLUDE,EXCLUDE
547183,people that,EXCLUDE,EXCLUDE
547183,made it,EXCLUDE,EXCLUDE
547183,so,EXCLUDE,EXCLUDE
547183,mushrooms,REPLACE,mushroom
547183,onions,REPLACE,onion
547183,garlic,FOUND,garlic
547183,cabbage,FOUND,cabbage
547183,zucchini,FOUND,zucchini
547183,squash,FOUND,squash
787646,zucchini,FOUND,zucchini
787646,squash,FOUND,squash
787646,asparagus,FOUND,asparagus
787646,mushrooms,REPLACE,mushroom
787646,lettuce,FOUND,lettuce
787646,onion,FOUND,onion
787646,corn,FOUND,corn
787646,eggplant,FOUND,eggplant
787646,carrot,FOUND,carrot
787646,beat,EXCLUDE,EXCLUDE
787646,radish,FOUND,radish
787646,peas,REPLACE,pea
787646,cucumber,FOUND,cucumber
787646,squash,FOUND,squash
787646,artichoke,FOUND,artichoke
898793,Astros,EXCLUDE,EXCLUDE
898793,God I,EXCLUDE,EXCLUDE
898793,don't,EXCLUDE,EXCLUDE
898793,eat,REPLACE,pea
898793,these kids,EXCLUDE,EXCLUDE
898793,brussel,EXCLUDE,EXCLUDE
898793,sprouts,EXCLUDE,EXCLUDE
898793,cabbage,FOUND,cabbage
898793,corned,REPLACE,corn
898793,a a,EXCLUDE,EXCLUDE
