SID,entry,evaluation,replacement
395439,commendations,EXCLUDE,EXCLUDE
395439,exams,EXCLUDE,EXCLUDE
395439,testing,EXCLUDE,EXCLUDE
395439,disabilities,EXCLUDE,EXCLUDE
395439,problems,EXCLUDE,EXCLUDE
395439,issues,EXCLUDE,EXCLUDE
395439,conflicts,EXCLUDE,EXCLUDE
395439,time,EXCLUDE,EXCLUDE
395439,extensions,REPLACE,pension
395439,special,EXCLUDE,EXCLUDE
395439,access,EXCLUDE,EXCLUDE
395439,special,EXCLUDE,EXCLUDE
395439,testing,EXCLUDE,EXCLUDE
395439,tsp,EXCLUDE,EXCLUDE
395439,shorter,REPLACE,hotel
395439,questions,REPLACE,guesthouse
395439,longer,REPLACE,lodge
395439,questions,REPLACE,guesthouse
395439,making things,EXCLUDE,EXCLUDE
395439,easier,EXCLUDE,EXCLUDE
395439,equality,EXCLUDE,EXCLUDE
395439,hotels,REPLACE,hotel
395439,flights,EXCLUDE,EXCLUDE
395439,housing,EXCLUDE,EXCLUDE
395439,trouble,EXCLUDE,EXCLUDE
395439,commendations,EXCLUDE,EXCLUDE
395439,exams,EXCLUDE,EXCLUDE
395439,testing,EXCLUDE,EXCLUDE
395439,disabilities,EXCLUDE,EXCLUDE
395439,problems,EXCLUDE,EXCLUDE
395439,issues,EXCLUDE,EXCLUDE
395439,conflicts,EXCLUDE,EXCLUDE
395439,time,EXCLUDE,EXCLUDE
395439,extensions,REPLACE,pension
395439,special,EXCLUDE,EXCLUDE
395439,access,EXCLUDE,EXCLUDE
395439,special,EXCLUDE,EXCLUDE
395439,testing,EXCLUDE,EXCLUDE
395439,tsp,EXCLUDE,EXCLUDE
395439,shorter,REPLACE,hotel
395439,questions,REPLACE,guesthouse
395439,longer,REPLACE,lodge
395439,questions,REPLACE,guesthouse
395439,making things,EXCLUDE,EXCLUDE
395439,easier,EXCLUDE,EXCLUDE
395439,equality,EXCLUDE,EXCLUDE
395439,hotels,REPLACE,hotel
395439,flights,EXCLUDE,EXCLUDE
395439,housing,EXCLUDE,EXCLUDE
395439,trouble,EXCLUDE,EXCLUDE
538590,disabilities,EXCLUDE,EXCLUDE
538590,special,EXCLUDE,EXCLUDE
538590,services,EXCLUDE,EXCLUDE
538590,sick,EXCLUDE,EXCLUDE
538590,extensions,REPLACE,pension
538590,homework,EXCLUDE,EXCLUDE
538590,deadlines,EXCLUDE,EXCLUDE
538590,quizzes,EXCLUDE,EXCLUDE
538590,overwhelming,EXCLUDE,EXCLUDE
538590,deadlines,EXCLUDE,EXCLUDE
538590,iJustine,EXCLUDE,EXCLUDE
538590,plans,EXCLUDE,EXCLUDE
538590,medians,EXCLUDE,EXCLUDE
538590,team,EXCLUDE,EXCLUDE
538590,products,EXCLUDE,EXCLUDE
538590,professors,EXCLUDE,EXCLUDE
4144,accommodations,EXCLUDE,EXCLUDE
4144,okay,REPLACE,ryokan
4144,oh,EXCLUDE,EXCLUDE
4144,okay,REPLACE,ryokan
4144,okay,REPLACE,ryokan
4144,thank you,EXCLUDE,EXCLUDE
4144,Hotel,REPLACE,motel
4144,a,EXCLUDE,EXCLUDE
4144,friend's,EXCLUDE,EXCLUDE
4144,house,REPLACE,hostel
4144,bed,EXCLUDE,EXCLUDE
4144,water,EXCLUDE,EXCLUDE
4144,food,EXCLUDE,EXCLUDE
4144,kids,EXCLUDE,EXCLUDE
4144,Airbnb,EXCLUDE,EXCLUDE
4144,Marvis,EXCLUDE,EXCLUDE
4144,house,REPLACE,hostel
4144,room,EXCLUDE,EXCLUDE
4144,I,EXCLUDE,EXCLUDE
4144,don't,EXCLUDE,EXCLUDE
4144,know what a,EXCLUDE,EXCLUDE
4144,castle,FOUND,castle
4144,TV,EXCLUDE,EXCLUDE
4144,hospitality,EXCLUDE,EXCLUDE
4144,sturgeon,EXCLUDE,EXCLUDE
4144,travel,EXCLUDE,EXCLUDE
4144,hostel,FOUND,hostel
4144,windows,EXCLUDE,EXCLUDE
910517,accommodations,EXCLUDE,EXCLUDE
910517,like I,EXCLUDE,EXCLUDE
910517,guess,EXCLUDE,EXCLUDE
910517,like a hotel,REPLACE,ice hotel
910517,accommodation,EXCLUDE,EXCLUDE
910517,so it,REPLACE,suite
910517,like a,EXCLUDE,EXCLUDE
910517,place to,REPLACE,palace
910517,stay,REPLACE,homestay
910517,Ossipee,EXCLUDE,EXCLUDE
910517,Lake,EXCLUDE,EXCLUDE
910517,testing,EXCLUDE,EXCLUDE
910517,accommodations,EXCLUDE,EXCLUDE
910517,like,EXCLUDE,EXCLUDE
910517,wheelchair,EXCLUDE,EXCLUDE
910517,ramps,REPLACE,campsite
910517,closed,EXCLUDE,EXCLUDE
910517,or an,REPLACE,ranch
910517,accommodation,EXCLUDE,EXCLUDE
910517,any,EXCLUDE,EXCLUDE
910517,place to,REPLACE,palace
910517,stay,REPLACE,homestay
910517,okay,REPLACE,ryokan
910517,Motel,REPLACE,motel
910517,Airbnb,EXCLUDE,EXCLUDE
910517,someone's,EXCLUDE,EXCLUDE
910517,apartment,FOUND,apartment
910517,someone's,EXCLUDE,EXCLUDE
910517,house,REPLACE,hostel
929641,Hotel,REPLACE,motel
929641,home,REPLACE,hotel
929641,dead,EXCLUDE,EXCLUDE
929641,Lounge,EXCLUDE,EXCLUDE
929641,the new,EXCLUDE,EXCLUDE
929641,cabin,FOUND,cabin
929641,tent,FOUND,tent
929641,Motel,REPLACE,motel
929641,City,EXCLUDE,EXCLUDE
929641,night,EXCLUDE,EXCLUDE
929641,balcony,EXCLUDE,EXCLUDE
929641,friends,EXCLUDE,EXCLUDE
929641,house,REPLACE,hostel
929641,long.,REPLACE,lodge
