SID,entry,timepoint,evaluation,replacement
5ed9311e1a69d449577bb8cf,airfryer,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,oven,0.0,FOUND,oven
5ed9311e1a69d449577bb8cf,dishwasher,0.0,FOUND,dishwasher
5ed9311e1a69d449577bb8cf,sink,0.0,FOUND,sink
5ed9311e1a69d449577bb8cf,soap,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,brush,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,salt,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,food,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,freezer,0.0,REPLACE,peeler
5ed9311e1a69d449577bb8cf,fridge,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,spatula,1.2,FOUND,spatula
5ed9311e1a69d449577bb8cf,rice cooker,1.1,FOUND,rice cooker
5ed9311e1a69d449577bb8cf,air fryer,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,paper towels,0.0,REPLACE,tea towels
5ed9311e1a69d449577bb8cf,kitchen towels,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,Ice Cube's,8.1,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,microwave,0.0,FOUND,microwave
5ed9311e1a69d449577bb8cf,cups,4.3,REPLACE,tea cups
5ed9311e1a69d449577bb8cf,plates,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,forks,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,kitchen knife,5.1,REPLACE,kitchen knives
5ed9311e1a69d449577bb8cf,holder,0.0,REPLACE,colander
5ed9311e1a69d449577bb8cf,stovetop,2.5,REPLACE,stove
5ed9311e1a69d449577bb8cf,clock,0.899999999999999,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,Outlets,1.6,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,condiments,7.4,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,drawers,4.2,REPLACE,grater
5ed9311e1a69d449577bb8cf,shelves,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,salt shaker,8.8,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,pepper shaker,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,coffee,0.0,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,spoon holder,6.3,REPLACE,pot holders
5ed9311e1a69d449577bb8cf,sponge,6.7,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,garbage bags,1.3,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,olive oil,6.09999999999999,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,bottle holder,0.0,REPLACE,bottle opener
5ed9311e1a69d449577bb8cf,a funnel,3.5,EXCLUDE,EXCLUDE
5ed9311e1a69d449577bb8cf,baking tray,0.0,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,stoves,0.0,REPLACE,stove
65512e3cc12f463bc327b7c3,kettles,3.1,REPLACE,kettle
65512e3cc12f463bc327b7c3,Keurigs,2.7,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,fridges,2.4,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,freezers,2.1,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,microwaves,2.0,REPLACE,microwave
65512e3cc12f463bc327b7c3,toasters,1.9,REPLACE,toaster
65512e3cc12f463bc327b7c3,coffee makers,2.7,REPLACE,coffee maker
65512e3cc12f463bc327b7c3,cupboards,2.1,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,dishwashers,2.2,REPLACE,dishwasher
65512e3cc12f463bc327b7c3,sinks,2.7,REPLACE,sink
65512e3cc12f463bc327b7c3,paper towels,2.6,REPLACE,tea towels
65512e3cc12f463bc327b7c3,drying racks,3.1,REPLACE,drying mat
65512e3cc12f463bc327b7c3,spices,3.0,REPLACE,spice jars
65512e3cc12f463bc327b7c3,glasses,5.7,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,dishes,2.6,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,knives,2.7,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,utensils,2.8,FOUND,utensils
65512e3cc12f463bc327b7c3,pots,6.3,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,pans,1.39999999999999,REPLACE,sparks
65512e3cc12f463bc327b7c3,Tupperware,4.8,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,dish soap,8.0,REPLACE,dish rack
65512e3cc12f463bc327b7c3,Vents,11.0,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,butter,5.0,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,tin foil,8.19999999999999,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,knives,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,spoons,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,forks,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,tons,2.8,REPLACE,tongs
5e8a76b3939b3072dc76fb5c,Mets,1.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,spices,1.4,REPLACE,spice jars
5e8a76b3939b3072dc76fb5c,sugar,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,salt,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,pepper,0.0,REPLACE,peeler
5e8a76b3939b3072dc76fb5c,baking soda,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,baking powder,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,flower,1.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,cornstarch,5.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,potato starch,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,milk,2.1,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,fridge,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,eggs,1.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,beef,2.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Pork,6.5,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,poultry,0.0,REPLACE,pantry
5e8a76b3939b3072dc76fb5c,turkey,1.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,ice,2.0,REPLACE,juicer
5e8a76b3939b3072dc76fb5c,ice cream,1.1,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,orange juice,6.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,fruits,1.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,apples,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,bananas,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,pears,0.0,REPLACE,sparks
5e8a76b3939b3072dc76fb5c,oven,2.30000000000001,FOUND,oven
5e8a76b3939b3072dc76fb5c,microwave,0.0,FOUND,microwave
5e8a76b3939b3072dc76fb5c,air fryer,1.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,dishwasher,6.40000000000001,FOUND,dishwasher
5e8a76b3939b3072dc76fb5c,sink,0.0,FOUND,sink
5e8a76b3939b3072dc76fb5c,paper towels,5.3,REPLACE,tea towels
5e8a76b3939b3072dc76fb5c,plates,12.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,bowls,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,cops,3.89999999999999,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,cutting boards,0.0,REPLACE,cutting board
5e8a76b3939b3072dc76fb5c,spatulas,5.7,REPLACE,spatula
5e8a76b3939b3072dc76fb5c,pads,1.10000000000001,REPLACE,sparks
5c1942e200849900010afdcd,plates,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,cups,0.0,REPLACE,tea cups
5c1942e200849900010afdcd,cupboards,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,stove,0.0,FOUND,stove
5c1942e200849900010afdcd,oven,0.0,FOUND,oven
5c1942e200849900010afdcd,fridge,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,freezer,1.2,REPLACE,peeler
5c1942e200849900010afdcd,sink,0.0,FOUND,sink
5c1942e200849900010afdcd,towels,1.0,REPLACE,tea towels
5c1942e200849900010afdcd,paper towels,0.0,REPLACE,tea towels
5c1942e200849900010afdcd,utensils,1.9,FOUND,utensils
5c1942e200849900010afdcd,oil,1.2,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,cleaning,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,agents,0.0,EXCLUDE,EXCLUDE
5c1942e200849900010afdcd,fresh pots,1.0,EXCLUDE,EXCLUDE
